xbd_uid,disaster,disaster_type,peril,xbd_tier,event_split,best_utm,N_intact,N_minor,N_major,N_destroyed,N_unclassified,N_total,xbd_date_pre,xbd_date_post,xbd_catalog_id_pre,xbd_catalog_id_post,xbd_sensor_pre,xbd_sensor_post,xbd_perc_nan_pre,xbd_perc_nan_post,s2_mgrs_tile,s2_date_pre,s2_date_post,s2_cs_pre,s2_cs_post,s1_date_pre,s1_date_post,s1_orbit_pre,s1_orbit_post,s1_direction_pre,s1_direction_post,s1_ids_pre,s1_ids_post
hurricane-matthew_00000020,hurricane-matthew,wind,storm,hold,test,EPSG:32618,54,23,2,0,7,86,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.8834504676743581,0.6684218777973102,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000021,hurricane-matthew,wind,storm,train,test,EPSG:32618,18,10,0,0,3,31,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.870990275999331,0.7328428638085631,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000022,hurricane-matthew,wind,storm,test,test,EPSG:32618,25,14,0,0,12,51,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.8642781983785054,0.7807293107807217,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000023,hurricane-matthew,wind,storm,train,test,EPSG:32618,37,62,13,2,10,124,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.891290105270415,0.6862484355858689,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000024,hurricane-matthew,wind,storm,hold,test,EPSG:32618,11,316,0,0,6,333,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.8793929716729885,0.7489405944366506,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000025,hurricane-matthew,wind,storm,hold,test,EPSG:32618,16,7,0,4,7,34,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.8695058050737794,0.7807816482413567,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000026,hurricane-matthew,wind,storm,hold,test,EPSG:32618,65,49,10,4,15,143,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.8946886096655291,0.48283726307067754,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000027,hurricane-matthew,wind,storm,test,test,EPSG:32618,19,315,0,0,1,335,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.8718796742670726,0.7305510013456231,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000028,hurricane-matthew,wind,storm,test,test,EPSG:32618,105,26,3,0,17,151,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.884054627468149,0.4626282034205641,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000029,hurricane-matthew,wind,storm,test,test,EPSG:32618,60,3,0,1,6,70,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.8726414145058262,0.7790751224716951,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000030,hurricane-matthew,wind,storm,train,test,EPSG:32618,134,14,13,1,6,168,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.8850257552626049,0.5236103385404625,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000031,hurricane-matthew,wind,storm,train,test,EPSG:32618,3,14,0,0,0,17,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.8635111725176979,0.7729787831076808,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000032,hurricane-matthew,wind,storm,hold,test,EPSG:32618,67,162,39,0,5,273,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.8667452636242198,0.7244236580509731,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000033,hurricane-matthew,wind,storm,test,test,EPSG:32618,33,8,1,0,6,48,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.8872906688475213,0.3914997028642617,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000034,hurricane-matthew,wind,storm,train,test,EPSG:32618,2,10,4,0,3,19,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.8581838193574329,0.770587421105238,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000035,hurricane-matthew,wind,storm,train,test,EPSG:32618,30,33,3,0,3,69,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.8617265041848036,0.7274766967780958,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000036,hurricane-matthew,wind,storm,hold,test,EPSG:32618,19,13,0,1,9,42,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.2336359024047851,0.222940444946289,18QXF,2015-12-24,2016-10-09,0.8900210911788347,0.6348315098173886,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000037,hurricane-matthew,wind,storm,test,test,EPSG:32618,0,270,16,0,0,286,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.8566027671553776,0.7802026762504506,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000038,hurricane-matthew,wind,storm,hold,test,EPSG:32618,39,61,0,0,12,112,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.8649039291324602,0.7185550223550878,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000039,hurricane-matthew,wind,storm,train,test,EPSG:32618,86,22,6,0,1,115,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.8960262850522316,0.6123616645513384,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000040,hurricane-matthew,wind,storm,train,test,EPSG:32618,12,30,2,0,4,48,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.2198829650878906,0.2091875076293945,18QXF,2015-12-24,2016-10-09,0.8580045602005052,0.7180027181723743,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000041,hurricane-matthew,wind,storm,train,test,EPSG:32618,10,27,1,0,1,39,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.9092929441917276,0.31366693863307976,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000042,hurricane-matthew,wind,storm,test,test,EPSG:32618,26,17,2,0,2,47,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.9042809542405184,0.6098194178728181,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000043,hurricane-matthew,wind,storm,train,test,EPSG:32618,140,31,2,2,6,181,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.9021942261857643,0.6503189610892209,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000044,hurricane-matthew,wind,storm,train,test,EPSG:32618,140,99,23,5,6,273,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.8322933966982266,0.7604930250472106,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000045,hurricane-matthew,wind,storm,train,test,EPSG:32618,10,115,2,0,1,128,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.8937419790857333,0.5825497101671286,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000046,hurricane-matthew,wind,storm,hold,test,EPSG:32618,0,25,8,3,1,37,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2016-06-11,2016-10-09,0.801702201659893,0.7561471165936468,2016-03-16,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20160316T230054_20160316T230123_010401_00F6A2_8EA6,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000047,hurricane-matthew,wind,storm,hold,test,EPSG:32618,14,69,6,2,1,92,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.8991630348855001,0.2588330440865992,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000048,hurricane-matthew,wind,storm,train,test,EPSG:32618,3,55,8,1,4,71,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.8115430055480436,0.7490940528611814,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
hurricane-matthew_00000049,hurricane-matthew,wind,storm,train,test,EPSG:32618,17,25,4,0,2,48,2013-01-05,2016-10-01,103001001E34CB00,103001005E8D5E00,WORLDVIEW02,WORLDVIEW02,0.0,0.0,18QXF,2015-12-24,2016-10-09,0.8972514674566118,0.15717228553980955,2015-05-09,2016-10-10,4,142,ASCENDING,DESCENDING,S1A_IW_GRDH_1SDV_20150509T230056_20150509T230125_005851_00787C_0177,S1B_IW_GRDH_1SDV_20161010T104641_20161010T104706_002443_0041FA_6728
